id,type,identifier,label,familyName,givenName,sortLabel,officialFamilyName,officialGivenName
person/197621,Person,197621,Juan Ignacio ZOIDO ÁLVAREZ,Zoido Álvarez,Juan Ignacio,ZOIDOALVAREZ,NA,NA
person/204129,Person,204129,Nikolina BRNJAC,Brnjac,Nikolina,BRNJACN,NA,NA
person/202036,Person,202036,Sunčana GLAVAK,Glavak,Sunčana,GLAVAK,NA,NA
person/197475,Person,197475,Christine ANDERSON,Anderson,Christine,ANDERSON,NA,NA
person/201945,Person,201945,Virginijus SINKEVIČIUS,Sinkevičius,Virginijus,SINKEVICIUSV,NA,NA
person/124700,Person,124700,Jana TOOM,Toom,Jana,TOOM,NA,NA
person/197800,Person,197800,Eero HEINÄLUOMA,Heinäluoma,Eero,HEINALUOMA,NA,NA
person/256852,Person,256852,Nikola BARTŮŠEK,Bartůšek,Nikola,BARTUSEKN,NA,NA
person/198183,Person,198183,Mihai TUDOSE,Tudose,Mihai,TUDOSE,NA,NA
person/197618,Person,197618,Elisabetta GUALMINI,Gualmini,Elisabetta,GUALMINI,NA,NA
person/197795,Person,197795,Mario FURORE,Furore,Mario,FURORE,NA,NA
person/197410,Person,197410,Stefan BERGER,Berger,Stefan,BERGERS,NA,NA
person/256920,Person,256920,Isabelle LE CALLENNEC,Le Callennec,Isabelle,LECALLENNECI,NA,NA
person/124808,Person,124808,Norbert LINS,Lins,Norbert,LINS,NA,NA
person/197843,Person,197843,Andrius KUBILIUS,Kubilius,Andrius,KUBILIUS,NA,NA
person/185771,Person,185771,Tom VANDENDRIESSCHE,Vandendriessche,Tom,VANDENDRIESSCHE,NA,NA
person/96653,Person,96653,Katarína ROTH NEVEĎALOVÁ,Roth Neveďalová,Katarína,ROTHNEVEDALOVA,NA,NA
person/96998,Person,96998,Evelyn REGNER,Regner,Evelyn,REGNER,NA,NA
person/197670,Person,197670,Andreas SCHIEDER,Schieder,Andreas,SCHIEDER,NA,NA
person/198373,Person,198373,Judita LAŠŠÁKOVÁ,Laššáková,Judita,LASSAKOVAJ,NA,NA
person/197580,Person,197580,Isabella TOVAGLIERI,Tovaglieri,Isabella,TOVAGLIERI,NA,NA
person/197647,Person,197647,Dan-Ştefan MOTREANU,Motreanu,Dan-Ştefan,MOTREANU,NA,NA
person/197786,Person,197786,Susanna CECCARDI,Ceccardi,Susanna,CECCARDI,NA,NA
person/96934,Person,96934,Sandra KALNIETE,Kalniete,Sandra,KALNIETE,NA,NA
person/197579,Person,197579,Klára DOBREV,Dobrev,Klára,DOBREV,NA,NA
person/197711,Person,197711,Dolors MONTSERRAT,Montserrat,Dolors,MONTSERRAT,NA,NA
person/198073,Person,198073,Anna-Maja HENRIKSSON,Henriksson,Anna-Maja,HENRIKSSONA,NA,NA
person/204449,Person,204449,Riho TERRAS,Terras,Riho,TERRAS,NA,NA
person/22418,Person,22418,Esther HERRANZ GARCÍA,Herranz García,Esther,HERRANZGARCIA,NA,NA
person/197738,Person,197738,Lídia PEREIRA,Pereira,Lídia,PEREIRALIDIA,NA,NA
person/256878,Person,256878,Marie-Luce BRASIER-CLAIN,Brasier-Clain,Marie-Luce,BRASIERCLAINM,NA,NA
person/256897,Person,256897,Gaëtan DUSSAUSAYE,Dussausaye,Gaëtan,DUSSAUSAYEG,NA,NA
person/256917,Person,256917,Majdouline SBAI,Sbai,Majdouline,SBAIM,NA,NA
person/256899,Person,256899,Murielle LAURENT,Laurent,Murielle,LAURENTM,NA,NA
person/28298,Person,28298,Iratxe GARCÍA PÉREZ,García Pérez,Iratxe,GARCIAPEREZ,NA,NA
person/124722,Person,124722,Csaba MOLNÁR,Molnár,Csaba,MOLNAR,NA,NA
person/256845,Person,256845,Ondřej KRUTÍLEK,Krutílek,Ondřej,KRUTILEK,NA,NA
person/256853,Person,256853,Klara DOSTALOVA,Dostalova,Klara,DOSTALOVAK,NA,NA
person/197870,Person,197870,Kim VAN SPARRENTAK,Van Sparrentak,Kim,VANSPARRENTAK,NA,NA
person/239260,Person,239260,Denis NESCI,Nesci,Denis,NESCI,NA,NA
person/197416,Person,197416,Giorgos GEORGIOU,Georgiou,Giorgos,GEORGIOUGI,Γεωργίου,Γιώργος
person/96810,Person,96810,Carlo FIDANZA,Fidanza,Carlo,FIDANZA,NA,NA
person/125093,Person,125093,Kostas PAPADAKIS,Papadakis,Kostas,PAPADAKIS KONSTANTINOS,Παπαδάκης,Κώστας
person/213330,Person,213330,Ernő SCHALLER-BAROSS,Schaller-Baross,Ernő,SCHALLER,NA,NA
person/97399,Person,97399,Dirk GOTINK,Gotink,Dirk,GOTINK,NA,NA
person/197628,Person,197628,Jean-Paul GARRAUD,Garraud,Jean-Paul,GARRAUD,NA,NA
person/197831,Person,197831,Hermann TERTSCH,Tertsch,Hermann,TERTSCH,NA,NA
person/23781,Person,23781,Janusz LEWANDOWSKI,Lewandowski,Janusz,LEWANDOWSKI,NA,NA
person/124784,Person,124784,Dan NICA,Nica,Dan,NICA,NA,NA
person/119652,Person,119652,Vytenis Povilas ANDRIUKAITIS,Andriukaitis,Vytenis Povilas,ANDRIUKAITISV,NA,NA
person/96811,Person,96811,Rosa ESTARÀS FERRAGUT,Estaràs Ferragut,Rosa,ESTARASFERRAGUT,NA,NA
person/197403,Person,197403,Alex AGIUS SALIBA,Agius Saliba,Alex,AGIUSSALIBA,NA,NA
person/101585,Person,101585,Niels FUGLSANG,Fuglsang,Niels,FUGLSANG,NA,NA
person/197430,Person,197430,Engin EROGLU,Eroglu,Engin,EROGLU,NA,NA
person/256866,Person,256866,Gabriella GERZSENYI,Gerzsenyi,Gabriella,GERZSENYIG,NA,NA
person/1917,Person,1917,Markus FERBER,Ferber,Markus,FERBER,NA,NA
person/96675,Person,96675,Isabella LÖVIN,Lövin,Isabella,LOVIN,NA,NA
person/204419,Person,204419,Sandro GOZI,Gozi,Sandro,GOZI,NA,NA
person/220840,Person,220840,Jaroslav BŽOCH,Bžoch,Jaroslav,BZOCHJ,NA,NA
person/256815,Person,256815,Marjan ŠAREC,Šarec,Marjan,SARECM,NA,NA
person/256886,Person,256886,Valérie DELOGE,Deloge,Valérie,DELOGEV,NA,NA
person/98341,Person,98341,Eva MAYDELL,Maydell,Eva,MAYDELL,Майдел,Ева
person/24942,Person,24942,Ana MIRANDA PAZ,Miranda Paz,Ana,MIRANDA ANA,NA,NA
person/96826,Person,96826,Tamás DEUTSCH,Deutsch,Tamás,DEUTSCH,NA,NA
person/124895,Person,124895,Krzysztof HETMAN,Hetman,Krzysztof,HETMAN,NA,NA
person/197607,Person,197607,Pietro FIOCCHI,Fiocchi,Pietro,FIOCCHI,NA,NA
person/204418,Person,204418,Nora MEBAREK,Mebarek,Nora,MEBAREK,NA,NA
person/200345,Person,200345,Pierre-Romain THIONNET,Thionnet,Pierre-Romain,THIONNETP,NA,NA
person/197404,Person,197404,Jessica POLFJÄRD,Polfjärd,Jessica,POLFJARD,NA,NA
person/197606,Person,197606,Javier ZARZALEJOS,Zarzalejos,Javier,ZARZALEJOS,NA,NA
person/198084,Person,198084,Katri KULMUNI,Kulmuni,Katri,KULMUNIK,NA,NA
person/124834,Person,124834,Martin SONNEBORN,Sonneborn,Martin,SONNEBORN,NA,NA
person/256844,Person,256844,Jaroslava POKORNÁ JERMANOVÁ,Pokorná Jermanová,Jaroslava,POKORNAJERMANOVAJ,NA,NA
person/197517,Person,197517,Adam JARUBAS,Jarubas,Adam,JARUBAS,NA,NA
person/256839,Person,256839,Anna STÜRGKH,Stürgkh,Anna,STURGKHA,NA,NA
person/256847,Person,256847,Danuše NERUDOVÁ,Nerudová,Danuše,NERUDOVAD,NA,NA
person/197412,Person,197412,Niclas HERBST,Herbst,Niclas,HERBST,NA,NA
person/124691,Person,124691,Costas MAVRIDES,Mavrides,Costas,MAVRIDES,Μαυρίδης,Κώστας
person/220896,Person,220896,Reinhold LOPATKA,Lopatka,Reinhold,LOPATKAR,NA,NA
person/96709,Person,96709,Morten LØKKEGAARD,Løkkegaard,Morten,LOKKEGAARD,NA,NA
person/22858,Person,22858,Fabienne KELLER,Keller,Fabienne,KELLER,NA,NA
person/197426,Person,197426,Sven SIMON,Simon,Sven,SIMONSV,NA,NA
person/197492,Person,197492,Bartosz ARŁUKOWICZ,Arłukowicz,Bartosz,ARLUKOWICZ,NA,NA
person/37324,Person,37324,Adina VĂLEAN,Vălean,Adina,VALEAN,NA,NA
person/122978,Person,122978,Alicia HOMS GINEL,Homs Ginel,Alicia,HOMSGINEL,NA,NA
person/230085,Person,230085,Camilla LAURETI,Laureti,Camilla,LAURETI,NA,NA
person/96940,Person,96940,Gerben-Jan GERBRANDY,Gerbrandy,Gerben-Jan,GERBRANDY,NA,NA
person/197463,Person,197463,Olivier CHASTEL,Chastel,Olivier,CHASTEL,NA,NA
person/197781,Person,197781,Malik AZMANI,Azmani,Malik,AZMANI,NA,NA
person/256834,Person,256834,Elisabeth DIERINGER,Dieringer,Elisabeth,DIERINGERGRANZAE,NA,NA
person/197503,Person,197503,David CORMAND,Cormand,David,CORMAND,NA,NA
person/256824,Person,256824,Yannis MANIATIS,Maniatis,Yannis,MANIATISI,Μανιάτης,Γιάννης
person/124807,Person,124807,Jens GIESEKE,Gieseke,Jens,GIESEKE,NA,NA
person/125012,Person,125012,Daniel BUDA,Buda,Daniel,BUDA,NA,NA
person/197534,Person,197534,François-Xavier BELLAMY,Bellamy,François-Xavier,BELLAMY,NA,NA
person/125023,Person,125023,Anja HAZEKAMP,Hazekamp,Anja,HAZEKAMP,NA,NA
person/28419,Person,28419,Nicola ZINGARETTI,Zingaretti,Nicola,ZINGARETTIN,NA,NA
person/25758,Person,25758,Ruth FIRMENICH,Firmenich,Ruth,FIRMENICHR,NA,NA
person/256888,Person,256888,Rody TOLASSY,Tolassy,Rody,TOLASSYR,NA,NA
person/96787,Person,96787,Herbert DORFMANN,Dorfmann,Herbert,DORFMANN,NA,NA
person/124866,Person,124866,Ilhan KYUCHYUK,Kyuchyuk,Ilhan,KYUCHYUK,Кючюк,Илхан
person/197441,Person,197441,Predrag Fred MATIĆ,Matić,Predrag Fred,MATIC,NA,NA
person/197413,Person,197413,Karlo RESSLER,Ressler,Karlo,RESSLER,NA,NA
person/197832,Person,197832,Diana RIBA I GINER,Riba i Giner,Diana,RIBAIGINER,NA,NA
person/256887,Person,256887,Wouter BEKE,Beke,Wouter,BEKEW,NA,NA
person/197684,Person,197684,Pernando BARRENA ARZA,Barrena Arza,Pernando,BARRENAARZA,NA,NA
person/189065,Person,189065,France JAMET,Jamet,France,JAMET,NA,NA
person/197494,Person,197494,Nathalie LOISEAU,Loiseau,Nathalie,LOISEAUN,NA,NA
person/251324,Person,251324,Krzysztof BREJZA,Brejza,Krzysztof,BREJZAK,NA,NA
person/197770,Person,197770,Martin HOJSÍK,Hojsík,Martin,HOJSIK,NA,NA
person/124985,Person,124985,Luke Ming FLANAGAN,Flanagan,Luke Ming,FLANAGAN LUKE,NA,NA
person/256909,Person,256909,Vilis KRIŠTOPANS,Krištopans,Vilis,KRISTOPANSV,NA,NA
person/197429,Person,197429,Marion WALSMANN,Walsmann,Marion,WALSMANN,NA,NA
person/256881,Person,256881,Barbara BONTE,Bonte,Barbara,BONTEB,NA,NA
person/256911,Person,256911,Arash SAEIDI,Saeidi,Arash,SAEIDIA,NA,NA
person/256874,Person,256874,Mélanie DISDIER,Disdier,Mélanie,DISDIERM,NA,NA
person/4267,Person,4267,Udo BULLMANN,Bullmann,Udo,BULLMANN,NA,NA
person/5392,Person,5392,Lara WOLTERS,Wolters,Lara,WOLTERS,NA,NA
person/244571,Person,244571,Nikos PAPANDREOU,Papandreou,Nikos,PAPANDREOUNIKOS,Παπανδρέου,Νίκος
person/210480,Person,210480,Marta TEMIDO,Temido,Marta,TEMIDOM,NA,NA
person/197470,Person,197470,Saskia BRICMONT,Bricmont,Saskia,BRICMONT,NA,NA
person/96830,Person,96830,Enikő GYŐRI,Győri,Enikő,GYORI,NA,NA
person/256809,Person,256809,Paulius SAUDARGAS,Saudargas,Paulius,SAUDARGASP,NA,NA
person/96936,Person,96936,Gabriel MATO,Mato,Gabriel,MATO,NA,NA
person/197778,Person,197778,Tom BERENDSEN,Berendsen,Tom,BERENDSEN,NA,NA
person/198490,Person,198490,Emmanouil FRAGKOS,Fragkos,Emmanouil,FRAGKOS,Φράγκος,Εμμανουήλ
person/256900,Person,256900,Fernand KARTHEISER,Kartheiser,Fernand,KARTHEISERF,NA,NA
person/197841,Person,197841,Liudas MAŽYLIS,Mažylis,Liudas,MAZYLIS,NA,NA
person/197829,Person,197829,Jorge BUXADÉ VILLALBA,Buxadé Villalba,Jorge,BUXADEVILLALBA,NA,NA
person/96697,Person,96697,Waldemar TOMASZEWSKI,Tomaszewski,Waldemar,TOMASZEWSKI,NA,NA
person/197818,Person,197818,Billy KELLEHER,Kelleher,Billy,KELLEHER,NA,NA
person/197573,Person,197573,Kira Marie PETER-HANSEN,Peter-Hansen,Kira Marie,PETER-HANSEN,NA,NA
person/193419,Person,193419,Christophe HANSEN,Hansen,Christophe,HANSEN,NA,NA
person/197526,Person,197526,Martin HLAVÁČEK,Hlaváček,Martin,HLAVACEK,NA,NA
person/256814,Person,256814,Zala TOMAŠIČ,Tomašič,Zala,TOMASICZ,NA,NA
person/256893,Person,256893,Pierre PIMPIE,Pimpie,Pierre,PIMPIEP,NA,NA
person/37312,Person,37312,Christel SCHALDEMOSE,Schaldemose,Christel,SCHALDEMOSE,NA,NA
person/256879,Person,256879,Yvan VEROUGSTRAETE,Verougstraete,Yvan,VEROUGSTRAETEY,NA,NA
person/256916,Person,256916,Mārtiņš STAĶIS,Staķis,Mārtiņš,STAKISM,NA,NA
person/197589,Person,197589,Laurence FARRENG,Farreng,Laurence,FARRENG,NA,NA
person/256833,Person,256833,Lena SCHILLING,Schilling,Lena,SCHILLINGL,NA,NA
person/99945,Person,99945,Lena DÜPONT,Düpont,Lena,DUPONTL,NA,NA
person/197466,Person,197466,Jutta PAULUS,Paulus,Jutta,PAULUS,NA,NA
person/197677,Person,197677,Günther SIDL,Sidl,Günther,SIDL,NA,NA
person/256846,Person,256846,Ondřej KOLÁŘ,Kolář,Ondřej,KOLARO,NA,NA
person/204336,Person,204336,Miriam LEXMANN,Lexmann,Miriam,LEXMANN,NA,NA
person/256813,Person,256813,Vladimir PREBILIČ,Prebilič,Vladimir,PREBILICV,NA,NA
person/197469,Person,197469,Assita KANKO,Kanko,Assita,KANKO,NA,NA
person/256810,Person,256810,Mika AALTOLA,Aaltola,Mika,AALTOLAM,NA,NA
person/256830,Person,256830,Elisabeth GROSSMANN,Grossmann,Elisabeth,GROSSMANNE,NA,NA
person/185619,Person,185619,Tiemo WÖLKEN,Wölken,Tiemo,WOLKEN,NA,NA
person/197839,Person,197839,Radan KANEV,Kanev,Radan,KANEV,Кънев,Радан
person/103381,Person,103381,Terry REINTKE,Reintke,Terry,REINTKE,NA,NA
person/197690,Person,197690,André ROUGÉ,Rougé,André,ROUGE,NA,NA
person/256855,Person,256855,Pál SZEKERES,Szekeres,Pál,SZEKERESP,NA,NA
person/197447,Person,197447,Irena JOVEVA,Joveva,Irena,JOVEVA,NA,NA
person/256820,Person,256820,Georgios AFTIAS,Aftias,Georgios,AFTIASG,Αυτιάς,Γεώργιος
person/256840,Person,256840,Jan FARSKÝ,Farský,Jan,FARSKYJ,NA,NA
person/197658,Person,197658,Dragoş BENEA,Benea,Dragoş,BENEA,NA,NA
person/256910,Person,256910,Anthony SMITH,Smith,Anthony,SMITHA,NA,NA
person/197794,Person,197794,Chiara GEMMA,Gemma,Chiara,GEMMA,NA,NA
person/197682,Person,197682,Hannes HEIDE,Heide,Hannes,HEIDE,NA,NA
person/34232,Person,34232,Kristian VIGENIN,Vigenin,Kristian,VIGENIN,Вигенин,Кристиан
person/187917,Person,187917,Marc BOTENGA,Botenga,Marc,BOTENGA,NA,NA
person/125104,Person,125104,Romana TOMC,Tomc,Romana,TOMC,NA,NA
person/256901,Person,256901,Jean-Marc GERMAIN,Germain,Jean-Marc,GERMAINJ,NA,NA
person/256925,Person,256925,Laurence TROCHU,Trochu,Laurence,TROCHUL,NA,NA
person/38542,Person,38542,Johan DANIELSSON,Danielsson,Johan,DANIELSSON,NA,NA
person/124973,Person,124973,Gerolf ANNEMANS,Annemans,Gerolf,ANNEMANS,NA,NA
person/28229,Person,28229,Manfred WEBER,Weber,Manfred,WEBERM,NA,NA
person/256902,Person,256902,Emma RAFOWICZ,Rafowicz,Emma,RAFOWICZE,NA,NA
person/256870,Person,256870,Valérie DEVAUX,Devaux,Valérie,DEVAUXV,NA,NA
person/125046,Person,125046,Jonás FERNÁNDEZ,Fernández,Jonás,FERNANDEZ JONAS,NA,NA
person/96933,Person,96933,Milan ZVER,Zver,Milan,ZVER,NA,NA
person/97236,Person,97236,Marie TOUSSAINT,Toussaint,Marie,TOUSSAINTMR,NA,NA
person/197392,Person,197392,Evin INCIR,Incir,Evin,INCIR,NA,NA
person/23868,Person,23868,Monika BEŇOVÁ,Beňová,Monika,BENOVA,NA,NA
person/112744,Person,112744,Tonino PICULA,Picula,Tonino,PICULA,NA,NA
person/220871,Person,220871,Rihards KOLS,Kols,Rihards,KOLSR,NA,NA
person/4395,Person,4395,Mario MANTOVANI,Mantovani,Mario,MANTOVANIM,NA,NA
person/197432,Person,197432,Jan-Christoph OETJEN,Oetjen,Jan-Christoph,OETJEN,NA,NA
person/197490,Person,197490,Magdalena ADAMOWICZ,Adamowicz,Magdalena,ADAMOWICZ,NA,NA
person/23699,Person,23699,Kateřina KONEČNÁ,Konečná,Kateřina,KONECNA,NA,NA
person/197557,Person,197557,Christophe GRUDLER,Grudler,Christophe,GRUDLER,NA,NA
person/256924,Person,256924,Sarah KNAFO,Knafo,Sarah,KNAFOS,NA,NA
person/256842,Person,256842,Gerald HAUSER,Hauser,Gerald,HAUSERG,NA,NA
person/86793,Person,86793,Anna CAVAZZINI,Cavazzini,Anna,CAVAZZINI,NA,NA
person/204400,Person,204400,Adrián VÁZQUEZ LÁZARA,Vázquez Lázara,Adrián,VÁZQUEZ LÁZARA,NA,NA
